Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 0-4,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
Zip Code,2019,60827,28483,8229,5017,3329,4095,3389,2758,1177,489,2578,3115,2530,25905,20254,2859,16017,12466,1486,39,25575,848,535,ZIP_Code-60827-2019
Citywide,2020,Chicago,2699347,552668,548747,463143,336591,313865,255435,145426,83472,165844,207791,177949,2533503,2146679,342174,1388469,1310878,772791,182251,776470,900055,67780,Citywide-Chicago-2020
Zip Code,2020,60601,14513,825,4696,3048,1815,809,1974,1070,276,275,410,120,14238,13688,2605,7894,6619,1242,3528,679,8614,450,ZIP_CODE-60601-2020
Zip Code,2020,60602,1596,115,332,860,191,81,17,0,0,49,66,0,1547,1481,4,744,852,120,435,37,794,210,ZIP_CODE-60602-2020
Zip Code,2020,60603,1186,15,423,248,68,176,146,91,19,3,3,9,1183,1171,198,560,626,62,397,29,692,6,ZIP_CODE-60603-2020
Zip Code,2020,60604,729,5,313,171,30,77,89,36,8,0,0,5,729,724,65,441,288,23,127,72,507,0,ZIP_CODE-60604-2020
Zip Code,2020,60605,30950,2608,8678,8486,3408,3377,2282,1702,409,1359,964,276,29591,28342,3154,16330,14620,2232,5648,4272,17704,1094,ZIP_CODE-60605-2020
Zip Code,2020,60606,3204,96,709,1169,475,373,264,118,0,63,33,0,3141,3108,301,1679,1525,152,1037,50,1835,130,ZIP_CODE-60606-2020
Zip Code,2020,60607,30306,3362,11381,7946,3004,2194,1315,561,543,1679,1100,551,28627,26944,1609,14910,15396,2768,6415,3878,16068,1177,ZIP_CODE-60607-2020
Zip Code,2020,60608,80011,14068,20182,15269,10053,8276,7137,3407,1619,3964,5777,4308,76047,65943,8420,35434,44577,37287,11310,13763,16527,1124,ZIP_CODE-60608-2020
Zip Code,2020,60609,60551,15379,11640,8023,8382,6892,5364,3810,1061,4004,6189,5172,56547,45172,7675,30569,29982,31898,4332,14380,9321,620,ZIP_CODE-60609-2020
Zip Code,2020,60610,40954,3385,12949,8874,3303,3753,4522,2975,1193,1292,1049,1036,39662,37569,6136,21419,19535,2316,4169,5120,27733,1616,ZIP_CODE-60610-2020
Zip Code,2020,60611,33937,2127,8405,6959,3061,4126,4435,3468,1356,1000,641,486,32937,31810,7036,18054,15883,1946,7015,957,23261,758,ZIP_CODE-60611-2020
Zip Code,2020,60612,32240,6760,6933,5287,4255,3855,3051,1393,706,1793,2594,2042,30447,25480,3448,17225,15015,4749,1518,17357,7634,982,ZIP_CODE-60612-2020
Zip Code,2020,60613,51399,6285,14297,13342,5915,4930,3289,2065,1276,2879,2157,1249,48520,45114,4670,26339,25060,6166,3413,3170,36979,1671,ZIP_CODE-60613-2020
Zip Code,2020,60614,72391,10603,24659,14106,7173,6262,5552,2726,1310,3479,4043,3031,68912,61788,6427,36172,36219,4456,5249,2678,57985,2023,ZIP_CODE-60614-2020
Zip Code,2020,60615,41198,6110,11393,6135,4195,4609,4863,2440,1453,2016,2176,1918,39182,35088,6131,22639,18559,2258,3373,21733,11747,2087,ZIP_CODE-60615-2020
Zip Code,2020,60616,52557,7134,11280,8908,6237,7390,6164,2968,2476,2258,2360,2487,50299,45423,8787,27430,25127,4029,20303,12577,14378,1270,ZIP_CODE-60616-2020
Zip Code,2020,60617,82101,20843,13979,9578,10027,10431,8133,5569,3541,4898,7579,8366,77203,61258,13343,45093,37008,31311,194,45210,4830,556,ZIP_CODE-60617-2020
Zip Code,2020,60618,94646,20813,16088,20651,14846,9977,6466,4014,1791,7002,7973,5785,87644,73833,8360,47492,47154,37188,6237,2208,45370,3643,ZIP_CODE-60618-2020
Zip Code,2020,60619,61372,12667,9118,7547,6800,9223,8048,4472,3497,3457,4505,4702,57915,48705,11362,34416,26956,1050,173,58359,613,1177,ZIP_CODE-60619-2020
Zip Code,2020,60620,68761,16203,10753,7954,8243,9215,7759,5081,3553,4177,6390,5636,64584,52558,12360,37732,31029,1680,233,65198,797,853,ZIP_CODE-60620-2020
Zip Code,2020,60621,26736,7157,4311,2784,2662,3654,3236,1580,1352,2442,2644,2064,24294,19579,4145,14588,12148,908,131,24744,389,564,ZIP_CODE-60621-2020
Zip Code,2020,60622,52957,7103,14013,16274,6717,3990,2471,1373,1016,3220,2199,1670,49737,45854,3572,26139,26818,11265,2401,2833,34127,2331,ZIP_CODE-60622-2020
Zip Code,2020,60623,77732,20657,14285,11701,9476,8424,6855,4615,1719,5313,8361,6983,72419,57075,9465,39368,38364,51970,213,22214,2989,346,ZIP_CODE-60623-2020
Zip Code,2020,60624,35054,9336,6757,4366,4094,4253,3516,1640,1092,2729,3849,2748,32325,25718,4204,18277,16777,2589,48,30583,1176,658,ZIP_CODE-60624-2020
Zip Code,2020,60625,78820,15832,14588,17768,10967,8363,6687,2691,1924,5366,5826,4584,73454,62988,7303,40253,38567,25957,9250,3504,36492,3617,ZIP_CODE-60625-2020
Zip Code,2020,60632,86715,23661,17253,12227,10482,9650,6839,4795,1808,6266,9150,8244,80449,63054,9356,41922,44793,71914,5774,936,7721,370,ZIP_CODE-60632-2020
Zip Code,2020,60633,12720,2785,1929,1958,1374,2099,1156,927,492,639,1100,1036,12081,9935,1945,6373,6347,5605,0,3268,3817,30,ZIP_CODE-60633-2020
Zip Code,2020,60634,75604,15430,10876,10909,10921,11400,7989,5382,2697,3927,5624,5871,71677,60174,11221,38951,36653,29667,3881,1441,39825,790,ZIP_CODE-60634-2020
Zip Code,2020,60636,30039,6809,4911,3142,3505,3903,2919,3563,1287,1786,2584,2439,28253,23230,6067,16370,13669,3428,24,25679,395,513,ZIP_CODE-60636-2020
Zip Code,2020,60637,46621,10666,11532,5997,4924,4970,4668,2521,1343,2717,4130,3707,43904,35955,5751,26192,20429,1409,2279,34827,6451,1655,ZIP_CODE-60637-2020
Zip Code,2020,60638,57057,13803,7720,8573,7682,8140,6209,2799,2131,3519,5290,4994,53538,43254,7700,27984,29073,30149,310,1959,24154,485,ZIP_CODE-60638-2020
Zip Code,2020,60639,88515,23270,15119,13086,12292,9829,8491,4421,2007,5868,8876,8523,82647,65245,10149,44344,44171,67494,1232,11718,7144,927,ZIP_CODE-60639-2020
Zip Code,2020,60640,69726,9088,14076,15316,9444,9428,6077,3264,3033,3227,3498,2348,66499,60638,8860,33739,35987,9836,7808,11682,38178,2222,ZIP_CODE-60640-2020
Zip Code,2020,60641,70163,15784,11010,11930,10276,8953,6964,3477,1769,4413,6052,5291,65750,54379,7836,36602,33561,37411,3462,1777,25057,2456,ZIP_CODE-60641-2020
Zip Code,2020,60642,20191,1810,6738,5997,2572,1371,1089,418,196,913,521,376,19278,18381,1074,9968,10223,3450,1708,1916,12346,771,ZIP_CODE-60642-2020
Zip Code,2020,60643,48572,11319,6078,5563,5646,7595,6204,3208,2959,2949,3877,4472,45623,37253,8783,26643,21929,1818,207,34282,10549,1716,ZIP_CODE-60643-2020
Zip Code,2020,60644,45919,11798,7417,5721,5613,5164,5681,2759,1766,3627,4513,3656,42292,34121,6983,24201,21718,4286,148,38773,1840,872,ZIP_CODE-60644-2020
Zip Code,2020,60645,46924,12164,7302,5971,6731,5465,5086,2485,1720,4059,4407,3685,42865,34760,6366,23331,23593,9083,7214,6711,21736,2180,ZIP_CODE-60645-2020
Zip Code,2020,60646,29043,6708,3478,3564,4361,3692,3484,2045,1711,1898,2727,2083,27145,22335,5322,15601,13442,4086,2803,179,21289,686,ZIP_CODE-60646-2020
Zip Code,2020,60647,85658,15040,21614,21752,10871,7195,5272,2445,1469,5618,5127,4267,80040,70618,6254,43046,42612,34024,3394,4039,41547,2654,ZIP_CODE-60647-2020
Zip Code,2020,60649,47084,10038,7796,7125,5897,5588,5941,3113,1586,3362,3578,3097,43722,37046,7304,26070,21014,1261,164,43514,1487,658,ZIP_CODE-60649-2020
Zip Code,2020,60651,63679,16789,11532,9323,7695,7482,5852,3147,1859,3808,6802,6170,59871,46890,7801,34149,29530,25440,181,33762,3183,1113,ZIP_CODE-60651-2020
Zip Code,2020,60652,42296,10768,6875,5147,5950,5941,4444,2077,1094,2596,3904,4267,39700,31528,5100,21753,20543,18354,356,18670,4342,574,ZIP_CODE-60652-2020
Zip Code,2020,60653,33574,8697,5366,4804,3855,3872,3528,2120,1332,2876,3312,2490,30698,24877,4978,19060,14514,1382,468,28717,2097,910,ZIP_CODE-60653-2020
Zip Code,2020,60654,20812,1228,6074,6593,2215,2398,1481,540,283,794,391,43,20018,19584,1460,9951,10861,1598,2637,775,14977,825,ZIP_CODE-60654-2020
Zip Code,2020,60655,27771,6878,3741,3312,3624,4216,3540,1595,865,1793,2597,2488,25978,20893,3847,14296,13475,2537,376,1587,22424,847,ZIP_CODE-60655-2020
Zip Code,2020,60656,28982,5445,3827,5520,3516,3713,3646,2147,1168,1969,2102,1374,27013,23537,5233,14086,14896,3587,2796,950,20907,742,ZIP_CODE-60656-2020
Zip Code,2020,60657,70489,8776,24075,16688,6733,5762,4573,2424,1458,3696,3252,1828,66793,61713,5949,33780,36709,5782,4898,2326,54926,2557,ZIP_CODE-60657-2020
Zip Code,2020,60659,43843,11916,6839,6603,5566,5244,4704,1947,1024,3668,4272,3967,40175,31927,4945,21932,21911,9085,11517,3594,16904,2743,ZIP_CODE-60659-2020
Zip Code,2020,60660,45131,5779,11358,8952,5574,5192,4463,2451,1362,2279,2141,1302,42852,39352,5842,22140,22991,7995,6455,6621,22350,1710,ZIP_CODE-60660-2020
Zip Code,2020,60661,10734,884,3350,3953,1442,658,317,73,57,592,250,42,10142,9850,298,5240,5494,894,2977,307,6209,347,ZIP_CODE-60661-2020
ZIP Code,2020,60666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZIP_CODE-60666-2020
Zip Code,2020,60707,42434,8937,6383,5901,6070,6218,4672,2687,1566,2145,3731,3061,40289,33497,6507,22350,20084,17614,1404,2812,19880,724,ZIP_CODE-60707-2020
Zip Code,2020,60827,28327,8579,4770,3536,3472,3357,2952,1178,483,2699,3187,2686,25628,19748,3023,15709,12618,1861,2,25362,646,456,ZIP_CODE-60827-2020
Citywide,2021,Chicago,2696561,540255,519276,464574,338452,314035,269647,167261,83061,149430,215061,174812,2547131,2156306,373166,1387010,1309551,777744,184263,757971,887130,89453,Citywide-Chicago-2021
Zip Code,2021,60601,14804,999,5065,3739,1390,970,1515,910,216,359,436,184,14445,13805,1963,8260,6544,1234,3827,908,8124,711,ZIP_CODE-60601-2021
Zip Code,2021,60602,1142,119,163,658,67,95,33,7,0,60,59,0,1082,1023,24,540,602,311,101,38,537,155,ZIP_CODE-60602-2021
Zip Code,2021,60603,1275,33,399,266,81,196,191,93,16,12,11,10,1263,1242,224,595,680,78,397,71,723,6,ZIP_CODE-60603-2021
Zip Code,2021,60604,687,6,335,122,38,74,61,33,18,0,0,6,687,681,71,421,266,30,70,72,515,0,ZIP_CODE-60604-2021
Zip Code,2021,60605,32077,2841,9038,8714,3740,3127,2539,1640,438,1196,1174,461,30881,29236,3143,16395,15682,2841,4942,4571,18296,1427,ZIP_CODE-60605-2021
Zip Code,2021,60606,3298,121,790,1202,367,478,184,156,0,75,46,0,3223,3177,256,1567,1731,179,1087,16,1967,49,ZIP_CODE-60606-2021
Zip Code,2021,60607,29990,3300,11585,7356,3360,1967,1289,624,509,1622,1127,515,28368,26690,1594,14801,15189,2743,6690,3717,15534,1306,ZIP_CODE-60607-2021
Zip Code,2021,60608,83689,15392,19489,16442,10590,9000,7655,3393,1728,3924,6462,4994,79765,68297,8837,36923,46766,39476,11486,14042,16943,1742,ZIP_CODE-60608-2021
Zip Code,2021,60609,61861,15202,11900,8011,8603,7565,5743,3821,1016,3888,6090,5212,57973,46659,7772,30963,30898,33408,3924,14573,9140,816,ZIP_CODE-60609-2021
Zip Code,2021,60610,42422,3817,13841,8534,3536,4139,4285,2945,1325,1287,1292,1231,41135,38605,6390,22094,20328,2109,4019,4967,29571,1756,ZIP_CODE-60610-2021
Zip Code,2021,60611,34562,2093,8272,6821,3200,4446,4710,3601,1419,1117,590,386,33445,32469,7339,18203,16359,2232,7076,1077,23254,923,ZIP_CODE-60611-2021
Zip Code,2021,60612,33908,7522,6902,6022,4567,3769,3091,1459,576,1967,2924,2368,31941,26386,3386,17922,15986,5119,1535,18516,7703,1035,ZIP_CODE-60612-2021
Zip Code,2021,60613,53282,6579,14724,13666,5978,5383,3432,2264,1256,2936,2315,1328,50346,46703,4757,26335,26947,6124,4572,3140,37714,1732,ZIP_CODE-60613-2021
Zip Code,2021,60614,72119,10625,23433,14255,7267,6302,5659,3127,1451,3396,4108,3078,68723,61494,7001,35674,36445,4411,5148,2734,57602,2224,ZIP_CODE-60614-2021
Zip Code,2021,60615,41767,6101,11172,6657,4594,4703,4983,2358,1199,1759,2232,2103,40008,35666,5885,22768,18999,2205,3395,22218,11805,2144,ZIP_CODE-60615-2021
Zip Code,2021,60616,53085,7072,10961,9848,5886,7332,6280,3176,2530,2257,2503,2285,50828,46013,8695,27548,25537,3988,19773,12330,15582,1412,ZIP_CODE-60616-2021
Zip Code,2021,60617,84193,21647,13650,10388,10017,10635,8727,5763,3366,5041,7980,8626,79152,62546,13507,46014,38179,33740,171,44794,4880,608,ZIP_CODE-60617-2021
Zip Code,2021,60618,95078,20763,15721,20655,15333,10280,6732,3849,1745,6673,7628,6390,88405,74315,8176,47846,47232,36407,6077,2417,45911,4266,ZIP_CODE-60618-2021
Zip Code,2021,60619,63481,13711,8621,8675,7304,9386,8234,4333,3217,3597,5124,4987,59884,49770,11094,35506,27975,1043,168,60173,607,1490,ZIP_CODE-60619-2021
Zip Code,2021,60620,69357,16375,11103,7892,8218,9119,7917,5087,3646,4566,6255,5554,64791,52982,12580,38240,31117,1937,204,65454,774,988,ZIP_CODE-60620-2021
Zip Code,2021,60621,26538,7066,4325,2919,2744,3611,3047,1585,1241,2069,2730,2257,24469,19472,4039,13937,12601,959,144,24499,398,538,ZIP_CODE-60621-2021
Zip Code,2021,60622,54650,7711,14330,17062,6684,3977,2478,1426,982,3549,2446,1701,51101,46939,3568,27177,27473,11270,2605,3189,35064,2522,ZIP_CODE-60622-2021
Zip Code,2021,60623,77352,20412,14022,11283,9656,8521,6635,4999,1824,5125,8375,6912,72227,56940,9860,39857,37495,51574,263,21992,3002,521,ZIP_CODE-60623-2021
Zip Code,2021,60624,36986,9901,7066,4505,4707,4350,3824,1591,1042,2668,3727,3498,34318,27085,4110,19078,17908,2859,137,32122,1262,606,ZIP_CODE-60624-2021
Zip Code,2021,60625,80028,15667,14404,17535,11247,9346,6949,3029,1851,4751,5979,4797,75277,64361,8047,40506,39522,25898,10121,3780,37163,3066,ZIP_CODE-60625-2021
Zip Code,2021,60632,87395,23015,17076,12882,10088,10607,6700,5277,1750,6159,8628,8227,81236,64380,9802,42553,44842,72204,6020,881,7916,374,ZIP_CODE-60632-2021
Zip Code,2021,60633,12674,2808,2068,1784,1207,2117,1391,792,507,696,1193,909,11978,9866,1926,6467,6207,5271,10,3295,4039,59,ZIP_CODE-60633-2021
Zip Code,2021,60634,77520,15738,10821,10920,11140,12006,8785,5645,2465,3661,5869,6201,73859,61782,11458,40219,37301,31680,4147,1919,38741,1033,ZIP_CODE-60634-2021
Zip Code,2021,60636,30412,6796,4736,3468,3139,3953,3405,3498,1417,2017,2411,2368,28395,23616,6266,15764,14648,4273,49,25213,341,536,ZIP_CODE-60636-2021
Zip Code,2021,60637,49514,11594,12076,5686,5685,5273,5224,2561,1415,2670,4530,4278,46844,37920,6060,27240,22274,1377,2503,36352,7374,1908,ZIP_CODE-60637-2021
Zip Code,2021,60638,58959,14291,7806,9061,8027,8239,6491,2894,2150,3653,5613,5025,55306,44668,8057,28947,30012,32605,384,1583,23996,391,ZIP_CODE-60638-2021
Zip Code,2021,60639,89037,23367,14895,13204,12078,9824,8980,4439,2250,5889,8890,8587,83148,65670,10528,45013,44024,66456,1772,11773,8026,1010,ZIP_CODE-60639-2021
Zip Code,2021,60640,67936,8275,14058,14701,9720,9101,5610,3493,2978,3011,3162,2087,64925,59661,8976,32418,35518,9246,7216,11301,37673,2500,ZIP_CODE-60640-2021
Zip Code,2021,60641,71003,16177,10483,12180,10340,9095,7209,3626,1893,4432,6361,5346,66571,54826,8030,36504,34499,38552,3487,1694,25142,2128,ZIP_CODE-60641-2021
Zip Code,2021,60642,21374,1884,7010,6681,2697,1258,1258,399,187,996,503,385,20378,19490,1155,10672,10702,3406,1583,2021,13545,819,ZIP_CODE-60642-2021
Zip Code,2021,60643,49796,11440,6035,5723,6039,7664,6678,3271,2946,2802,4116,4491,46994,38356,8986,26963,22833,1817,292,35528,10557,1602,ZIP_CODE-60643-2021
Zip Code,2021,60644,47630,12279,7590,5998,6242,5407,5697,3011,1406,3357,5033,3887,44273,35351,6798,25600,22030,4335,303,40264,1811,917,ZIP_CODE-60644-2021
Zip Code,2021,60645,48585,13057,7196,6388,6782,5537,5457,2663,1505,4211,4918,3918,44374,35528,6744,24038,24547,10050,7216,7263,21537,2519,ZIP_CODE-60645-2021
Zip Code,2021,60646,29326,7002,3256,3810,4221,3711,3288,2280,1758,2014,2668,2320,27312,22324,5361,15857,13469,4113,3259,198,20895,861,ZIP_CODE-60646-2021
Zip Code,2021,60647,85564,14620,20816,22494,10556,7690,5404,2522,1462,5488,5247,3860,80076,70944,6319,42804,42760,32028,3596,4961,42071,2908,ZIP_CODE-60647-2021
Zip Code,2021,60649,48973,10532,7859,7993,5542,5755,6692,2991,1609,3375,4157,3000,45598,38441,7360,26516,22457,1409,294,45258,1394,618,ZIP_CODE-60649-2021
Zip Code,2021,60651,64638,16307,11658,9381,8423,7136,6552,3379,1802,3826,6323,6152,60812,48331,8123,34297,30341,25519,161,34288,3583,1087,ZIP_CODE-60651-2021
Zip Code,2021,60652,43485,11059,6951,5594,6664,5503,4559,2048,1107,2282,4342,4434,41203,32426,5265,22212,21273,20528,358,18340,3615,644,ZIP_CODE-60652-2021
Zip Code,2021,60653,34519,8652,5294,4731,4096,4416,3959,2055,1316,2726,3055,2849,31793,25867,5161,20148,14371,1593,440,29390,2172,924,ZIP_CODE-60653-2021
Zip Code,2021,60654,21859,926,7081,6891,2052,2412,1634,615,248,484,364,78,21375,20933,1672,10783,11076,1835,2671,898,15525,930,ZIP_CODE-60654-2021
Zip Code,2021,60655,28751,7061,3795,3295,4013,4273,3559,1809,946,1619,2945,2497,27132,21690,4197,14472,14279,2691,411,1498,23305,846,ZIP_CODE-60655-2021
Zip Code,2021,60656,28665,5489,3538,5182,3847,3713,3727,2030,1139,1865,2065,1559,26800,23176,5064,13832,14833,3647,3241,1034,20027,716,ZIP_CODE-60656-2021
Zip Code,2021,60657,72113,9371,23860,17192,7404,5857,4513,2517,1399,4060,3341,1970,68053,62742,5948,34485,37628,6393,4688,2648,55384,3000,ZIP_CODE-60657-2021
Zip Code,2021,60659,43729,11751,6546,6087,5544,5914,4722,1941,1224,3394,4027,4320,40335,31978,5117,22259,21470,10484,11678,3678,15716,2173,ZIP_CODE-60659-2021
Zip Code,2021,60660,44972,5918,10937,9113,5752,4907,4343,2733,1269,2396,2288,1184,42576,39054,6121,22182,22790,7934,6118,6411,22391,2118,ZIP_CODE-60660-2021
Zip Code,2021,60661,11073,870,3293,4199,1510,726,308,109,58,529,293,48,10544,10203,318,5369,5704,910,3177,262,6388,336,ZIP_CODE-60661-2021
ZIP Code,2021,60666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZIP_CODE-60666-2021
Zip Code,2021,60707,41309,8672,5879,5966,5835,5481,4876,3055,1545,2030,3558,3084,39279,32637,6874,21941,19368,16839,1491,2796,19405,778,ZIP_CODE-60707-2021
Zip Code,2021,60827,26010,8279,4338,3268,3208,2792,2673,1039,413,2374,3184,2714,23636,17731,2656,14285,11725,1764,3,23328,416,499,ZIP_CODE-60827-2021
Zip Code,2021,60626,50295,8007,11937,8965,6995,6738,4360,2178,1115,2810,2977,2165,47485,42288,5098,25318,24977,9694,2724,12646,23029,2202,ZIP_CODE-60626-2021
Zip Code,2021,60628,64489,13734,11638,7491,7593,9066,6930,4860,3177,3557,5498,4657,60932,50755,10940,34961,29528,2775,79,59168,1462,1005,ZIP_CODE-60628-2021
Zip Code,2021,60629,107487,29283,20690,13227,14954,11096,8187,7688,2362,8267,10786,10229,99220,78204,13746,53753,53734,79111,595,18878,7650,1253,ZIP_CODE-60629-2021
Zip Code,2021,60630,55591,11093,7053,8926,7337,7479,7975,3605,2123,3238,4359,3490,52353,44498,9658,27787,27804,14180,7122,1007,31325,1957,ZIP_CODE-60630-2021
Zip Code,2021,60631,30589,6925,3308,4357,3813,4657,3686,1846,1997,2342,2663,1920,28247,23664,5546,15516,15073,4491,1262,307,23360,1169,ZIP_CODE-60631-2021
